time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
2022-06-29,GZCO.JK,169931000.0,352500000.0,86473000.0,67882000.0,1817533000.0,755749000.0,1016790000.0,-41581000.0,5837000,99668000.0,-35495000.0,67882000.0,-12176000,110212000,-27434000.0,11478000,104375000,-20522000,,-18453000
2022-03-30,GZCO.JK,224385000.0,328807000.0,56228000.0,45290000.0,1904725000.0,815344000.0,1044224000.0,-47386000.0,7299000,11623000.0,-31567000.0,45290000.0,-8240000,151879000,13730000.0,11768000,144580000,31389000,2.0,33501000
2022-12-30,JAWA.JK,262493584.0,655779238.0,190865678.0,112723.0,3589642467.0,3471237599.0,108773597.0,-14928732.0,-9228891,-27515961.0,43006910.0,1982726.0,-21854631,224032467,-122874859.0,40860357,233261358,-55352756,,-41232767
2022-09-29,JAWA.JK,312460563.0,646047676.0,208371933.0,116320.0,3665593487.0,3506641347.0,148662344.0,-29343072.0,-5039362,-26999237.0,46520066.0,1420508.0,-26846596,210927836,-87944631.0,41374111,215967198,-51370751,,-51254034
2022-06-29,JAWA.JK,312189004.0,596042367.0,200356207.0,206422.0,3663674479.0,3436754236.0,216109168.0,-66506986.0,35939802,-20931122.0,95066533.0,11242751.0,20149315,279011655,-37342270.0,41706640,243071853,5359995,,5470953
2022-03-30,JAWA.JK,282146992.0,641926395.0,198856335.0,206516.0,3635689896.0,3430074335.0,194694009.0,-27267191.0,5625064,-29091077.0,47216533.0,3614326.0,5427,257569560,-52044315.0,42055390,251944496,-13260383,-13.79,-13153152
2022-12-30,LSIP.JK,5107489000.0,709627000.0,814576000.0,3847390000.0,12417013000.0,1481306000.0,10935562000.0,326456000.0,395122000,-112143000.0,-1211000.0,3847390000.0,337938000,1540734000,272202000.0,146000,1145612000,326848000,,393758000
2022-09-29,LSIP.JK,5006057000.0,811654000.0,1051791000.0,3606410000.0,12403555000.0,1814443000.0,10588697000.0,267779000.0,256520000,-83998000.0,-348915000.0,3606410000.0,228312000,997287000,215486000.0,156000,740767000,269721000,,272878000
2022-06-29,LSIP.JK,5121590000.0,811616000.0,878240000.0,3749678000.0,12506873000.0,1785553000.0,10720658000.0,352083000.0,399924000,-86633000.0,-1167000.0,3749678000.0,261474000,1282395000,244132000.0,176000,882471000,307697000,,310922000
2022-03-30,LSIP.JK,4776478000.0,717778000.0,973634000.0,3460392000.0,12207153000.0,1729979000.0,10476166000.0,140947000.0,439878000,-51084000.0,-1145000.0,3460392000.0,383989000,764932000,304628000.0,198000,325054000,379935000,45.0,409356000
2022-12-30,MGRO.JK,1429234676.0,1423463510.0,693644235.0,457603973.0,2561664000.0,1916291204.0,606893257.0,158078640.0,143303672,-65047179.0,-64535659.0,457603973.0,46522327,1887255791,28014868.0,26859584,1743952118,41045545,,40228465
2022-09-29,MGRO.JK,1546194022.0,1424475674.0,762677946.0,429108171.0,2644782584.0,2017409341.0,583900117.0,47608013.0,126304914,-48281378.0,147172858.0,429108171.0,-10281842,1439773855,-45533505.0,25806733,1313468941,-9532443,,-8026317
2022-06-29,MGRO.JK,1508066917.0,1242910921.0,763707282.0,282608678.0,2490603339.0,1812743256.0,618920282.0,-209731988.0,287734277,-16680939.0,399963234.0,282608678.0,34605793,1755577190,-8442026.0,25491459,1667070752,29659455,,32107068
2022-03-30,MGRO.JK,1199371610.0,1042356601.0,621634744.0,109058369.0,2188025151.0,1471671699.0,652039337.0,-281686445.0,171266524,-3097433.0,303079176.0,109058369.0,29690766,2423094106,5856201.0,17446482,2052599742,27809162,1.66,30163623
2022-03-30,MKTR.JK,144341173.0,163806642.0,36366997.0,27125430.0,628435492.0,433636826.0,193297925.0,6508544.0,27620818,-10512235.0,-18664953.0,27125430.0,17500376,205154581,9179438.0,8320960,177533763,20089008,0.76,20233443
2022-09-29,PSGO.JK,1064251516.0,473810645.0,252484528.0,477060972.0,3876939712.0,2311622927.0,1565044765.0,187597011.0,49353451,-83286358.0,-80988913.0,477060972.0,-1302544,360887205,-27737874.0,36221976,311533754,15629316,,2964441
